# PIP_Player1 PIP_Player2 Win_Prob_Player1

# gnuplot> set dgrid3d 50,50,50
# set contour base
# splot 'pip2winning.dat' using 1:2:(($3-.1)/.8) with points pt 7 ps .3 palette
# set cntrparam bspline
# set cntrparam levels 9



68 35 0.117600
35 65 0.893600
41 11 0.100000
29 8 0.100000
8 17 0.900000
1 9 0.900000
9 0 0.100000
120 108 0.396000
108 114 0.664800
114 104 0.418400
104 106 0.612000
106 97 0.381600
97 100 0.621600
100 87 0.311200
87 92 0.660000
92 79 0.338400
79 88 0.728800
88 73 0.322400
73 68 0.520800
68 65 0.450400
65 64 0.560800
64 61 0.520800
61 57 0.522400
57 57 0.605600
57 49 0.434400
49 50 0.592800
50 44 0.504800
44 34 0.341600
34 35 0.615200
35 29 0.388000
29 26 0.560800
26 25 0.548000
25 11 0.143200
11 19 0.871200
19 5 0.120800
5 15 0.895200
15 3 0.116000
3 12 0.900000
120 111 0.444000
111 114 0.608800
114 107 0.461600
107 109 0.628000
109 95 0.332000
95 104 0.714400
104 90 0.340000
90 97 0.653600
97 82 0.304800
82 90 0.704800
90 71 0.260000
71 83 0.781600
83 47 0.114400
47 71 0.885600
71 39 0.109600
39 62 0.890400
62 30 0.109600
30 42 0.885600
42 25 0.119200
25 24 0.764000
24 16 0.256800
16 20 0.764000
20 12 0.357600
12 16 0.751200
16 8 0.274400
8 10 0.749600
10 4 0.253600
4 5 0.812000
5 0 0.100000
128 103 0.285600
103 120 0.751200
120 91 0.220000
91 115 0.808800
115 67 0.111200
67 111 0.895200
111 62 0.116000
62 107 0.892000
107 52 0.106400
52 96 0.884000
96 44 0.108000
44 72 0.866400
72 35 0.132000
35 62 0.869600
62 29 0.135200
29 55 0.884000
55 20 0.136800
20 46 0.885600
46 17 0.132000
17 37 0.882400
37 12 0.124000
12 33 0.896800
33 9 0.146400
9 24 0.863200
24 7 0.128800
7 20 0.890400
20 5 0.119200
5 14 0.888800
14 3 0.111200
3 9 0.900000
9 1 0.100000
1 6 0.900000
6 0 0.100000
116 98 0.332000
98 106 0.682400
106 74 0.178400
74 86 0.711200
86 66 0.263200
66 79 0.757600
79 59 0.276000
59 74 0.784800
74 49 0.202400
49 63 0.773600
63 28 0.111200
28 54 0.877600
54 23 0.130400
23 30 0.732000
30 17 0.256800
17 23 0.738400
23 6 0.109600
6 16 0.900000
2 8 0.900000
8 0 0.100000
110 75 0.178400
75 106 0.831200
106 64 0.138400
64 97 0.860000
97 58 0.148000
58 90 0.864800
90 51 0.160800
51 83 0.856800
83 45 0.148000
45 76 0.858400
76 39 0.143200
39 65 0.845600
65 35 0.175200
35 58 0.856800
58 27 0.146400
27 42 0.759200
42 22 0.285600
22 38 0.810400
38 17 0.188000
17 27 0.754400
27 14 0.404000
14 24 0.700000
24 10 0.328800
10 19 0.706400
19 6 0.317600
6 15 0.802400
15 3 0.223200
3 9 0.818400
9 1 0.181600
1 0 0.100000
80 73 0.500000
73 71 0.477600
71 65 0.493600
65 64 0.527200
64 58 0.522400
58 61 0.576800
61 54 0.535200
54 54 0.541600
54 47 0.522400
47 46 0.468000
46 41 0.608800
41 43 0.548000
43 34 0.469600
34 35 0.528800
35 30 0.556000
30 28 0.461600
28 25 0.605600
25 23 0.524000
23 19 0.469600
19 18 0.557600
18 13 0.381600
13 12 0.616800
12 9 0.444000
9 3 0.240800
3 6 0.900000
6 1 0.100000
1 2 0.900000
2 0 0.100000
94 93 0.541600
93 88 0.482400
88 86 0.535200
86 81 0.512800
81 79 0.538400
79 57 0.250400
57 70 0.730400
70 50 0.260000
50 65 0.746400
65 42 0.287200
42 49 0.597600
49 38 0.527200
38 42 0.479200
42 32 0.546400
32 38 0.546400
38 27 0.428000
27 30 0.562400
30 22 0.413600
22 23 0.600800
23 18 0.440800
18 16 0.492000
16 15 0.589600
15 5 0.119200
5 10 0.900000
10 2 0.100000
2 2 0.900000
2 0 0.100000
94 81 0.384800
81 78 0.517600
78 76 0.597600
76 69 0.396000
69 69 0.592800
69 63 0.364000
63 64 0.668000
64 56 0.308000
56 61 0.749600
61 49 0.261600
49 45 0.583200
45 42 0.378400
42 36 0.623200
36 31 0.301600
31 32 0.719200
32 25 0.332000
25 27 0.720800
27 20 0.383200
20 24 0.792800
24 16 0.247200
16 18 0.789600
18 11 0.194400
11 13 0.828000
13 6 0.111200
6 7 0.900000
7 3 0.100000
3 3 0.900000
3 0 0.100000
77 83 0.583200
83 73 0.463200
73 80 0.623200
80 65 0.388000
65 64 0.439200
64 54 0.485600
54 61 0.631200
61 44 0.338400
44 51 0.636000
51 39 0.445600
39 43 0.490400
43 19 0.207200
19 35 0.807200
35 13 0.183200
13 30 0.844000
30 10 0.181600
10 21 0.805600
21 6 0.178400
6 17 0.896800
17 4 0.112800
4 4 0.775200
4 2 0.228000
2 1 0.900000
1 0 0.100000
97 71 0.236000
71 73 0.568800
73 47 0.220000
47 63 0.800800
63 40 0.221600
40 47 0.682400
47 34 0.364000
34 40 0.728800
40 31 0.335200
31 36 0.716000
36 24 0.303200
24 27 0.687200
27 20 0.442400
20 15 0.213600
15 14 0.780000
14 11 0.186400
11 10 0.848800
10 8 0.237600
8 6 0.821600
6 4 0.186400
4 3 0.860000
3 0 0.100000
102 101 0.554400
101 97 0.522400
97 94 0.490400
94 90 0.504800
90 90 0.533600
90 79 0.364000
79 83 0.607200
83 59 0.232800
59 77 0.800800
77 50 0.176800
50 70 0.834400
70 47 0.183200
47 63 0.829600
63 38 0.176800
38 57 0.816800
57 31 0.167200
31 48 0.860000
48 26 0.154400
26 39 0.853600
39 21 0.141600
21 36 0.866400
36 16 0.157600
16 31 0.876000
31 10 0.112800
10 25 0.887200
130 89 0.135200
89 120 0.848800
120 81 0.143200
81 113 0.871200
113 75 0.138400
75 104 0.848800
104 65 0.132000
65 99 0.888800
99 57 0.116000
57 90 0.893600
90 51 0.114400
51 82 0.892000
82 43 0.114400
43 78 0.895200
78 23 0.100000
66 19 0.100000
51 49 0.546400
49 31 0.245600
31 44 0.821600
44 23 0.180000
23 34 0.847200
34 17 0.148000
17 30 0.893600
30 13 0.125600
13 23 0.893600
23 9 0.106400
9 19 0.900000
19 6 0.100000
6 14 0.900000
14 4 0.100000
4 11 0.900000
11 2 0.100000
2 8 0.900000
8 0 0.100000
31 74 0.898400
74 27 0.101600
69 21 0.101600
63 82 0.816800
82 55 0.188000
55 79 0.855200
79 48 0.135200
48 73 0.876000
73 40 0.128800
40 49 0.736800
49 31 0.248800
31 41 0.773600
41 24 0.248800
24 34 0.831200
34 18 0.167200
18 27 0.850400
27 15 0.167200
15 11 0.364000
11 12 0.703200
12 7 0.308000
7 8 0.735200
8 4 0.276000
4 4 0.788000
4 2 0.245600
2 2 0.900000
2 0 0.100000
36 66 0.898400
66 28 0.100000
28 59 0.900000
59 21 0.100000
79 73 0.396000
73 59 0.420000
59 68 0.656800
68 52 0.360800
52 61 0.652000
61 42 0.295200
42 54 0.738400
54 34 0.266400
34 48 0.775200
48 25 0.186400
25 38 0.810400
38 21 0.199200
21 32 0.842400
32 17 0.204000
17 27 0.828000
27 11 0.144800
11 19 0.831200
19 8 0.164000
8 15 0.876000
15 5 0.210400
5 3 0.205600
3 2 0.900000
2 0 0.100000
91 36 0.101600
84 29 0.100000
95 85 0.471200
85 91 0.628000
91 78 0.426400
78 85 0.602400
85 73 0.452000
73 78 0.567200
78 70 0.496800
70 69 0.461600
69 63 0.525600
63 57 0.461600
57 56 0.583200
56 48 0.418400
48 40 0.509600
40 37 0.434400
37 26 0.370400
26 31 0.685600
31 21 0.317600
21 26 0.701600
26 17 0.290400
17 20 0.701600
20 14 0.308000
14 14 0.708000
14 10 0.279200
10 4 0.264800
4 6 0.810400
6 1 0.205600
1 3 0.900000
3 0 0.100000
92 86 0.524000
